status,local_id,local_brand,local_model,remote_brand,remote_model,category,detail_url
"matched","wells-ws674","웰스","WS674","웰스","WS674","정수기","https://www.rentalsegye.com/product.php?no=40917&cid=1377&gid=1424"
"matched","cuckoo-cp-af1601sw","쿠쿠","CP-AF1601SW","쿠쿠","CP-AF1601SW","정수기","https://www.rentalsegye.com/product.php?no=41402&cid=1377&gid=1424"
"unmatched_remote","","","","코웨이","CHP-1111N","정수기","https://www.rentalsegye.com/product.php?no=41303&cid=1377&gid=1424"
"matched","coway-p-2200n","코웨이","P-2200N","코웨이","P-2200N","정수기","https://www.rentalsegye.com/product.php?no=41338&cid=1377&gid=1424"
"matched","cuckoo-cp-aks011eg-ep-gb","쿠쿠","CP-AKS011EG/EP/GB","쿠쿠","CP-AKS011EG/EP/GB","정수기","https://www.rentalsegye.com/product.php?no=41404&cid=1377&gid=1424"
"matched","hyundai-hqpa70sw0g","현대큐밍","HQPA70SW0G","현대큐밍","HQPA70SW0G","정수기","https://www.rentalsegye.com/product.php?no=47835&cid=1377&gid=1424"
"matched","chungho-wp-30b90620n","청호나이스","WP-30B90620N","청호나이스","WP-30B90620N","정수기","https://www.rentalsegye.com/product.php?no=42283&cid=1377&gid=1424"
"matched","chungho-wp-50c80621n","청호나이스","WP-50C80621N","청호나이스","WP-50C80621N","정수기","https://www.rentalsegye.com/product.php?no=42309&cid=1377&gid=1424"
"unmatched_remote","","","","LG","WD524V(C/H/S)T","정수기","https://www.rentalsegye.com/product.php?no=42360&cid=1377&gid=1424"
"unmatched_remote","","","","LG","WD523V(C/H/S/P/M)T","정수기","https://www.rentalsegye.com/product.php?no=42361&cid=1377&gid=1424"
"matched","cesco-ewes351","세스코","EWES351","세스코","EWES351","정수기","https://www.rentalsegye.com/product.php?no=42483&cid=1377&gid=1424"
"matched","cesco-ewes551","세스코","EWES551","세스코","EWES551","정수기","https://www.rentalsegye.com/product.php?no=42484&cid=1377&gid=1424"
"unmatched_remote","","","","LG","WD520VCT","정수기","https://www.rentalsegye.com/product.php?no=42753&cid=1377&gid=1424"
"matched","coway-chp-5730l","코웨이","CHP-5730L","코웨이","CHP-5730L","정수기","https://www.rentalsegye.com/product.php?no=47010&cid=1377&gid=1424"
"matched","coway-chp-5730r","코웨이","CHP-5730R","코웨이","CHP-5730R","정수기","https://www.rentalsegye.com/product.php?no=47011&cid=1377&gid=1424"
"matched","cuckoo-cp-dn1201s","쿠쿠","CP-DN1201S","쿠쿠","CP-DN1201S","정수기","https://www.rentalsegye.com/product.php?no=47173&cid=1377&gid=1424"
"matched","coway-cpi-7410n","코웨이","CPI-7410N","코웨이","CPI-7410N","정수기","https://www.rentalsegye.com/product.php?no=43138&cid=1377&gid=1424"
"matched","coway-cpi-7410n-2","코웨이","CPI-7410N","코웨이","CPI-7410N","정수기","https://www.rentalsegye.com/product.php?no=43138&cid=1377&gid=1424"
